Description,Price,Category,Shop Name,Shop Function
Aromatic Oils (Small Vial), 5 sp,Item,Soothing Suds Bathhouse,Bathhouse
Bath Salts (Per Pouch), 5 sp,Item,Soothing Suds Bathhouse,Bathhouse
Essential Oil Blends (Per Bottle), 1 gp,Item,Soothing Suds Bathhouse,Bathhouse
Herbal Bath Sachet, 1 sp,Item,Soothing Suds Bathhouse,Bathhouse
Linen Robe, 5 sp,Item,Soothing Suds Bathhouse,Bathhouse
Scrubbing Brush, 5 cp,Item,Soothing Suds Bathhouse,Bathhouse
Soap (Per Bar), 2 cp,Item,Soothing Suds Bathhouse,Bathhouse
Sponge, 2 cp,Item,Soothing Suds Bathhouse,Bathhouse
Towel (Each), 1 sp,Item,Soothing Suds Bathhouse,Bathhouse
Wooden Bucket, 2 cp,Item,Soothing Suds Bathhouse,Bathhouse
Aromatherapy Session, 2 gp,Service,Soothing Suds Bathhouse,Bathhouse
Basic Bathing Session (Includes Hot Water and Soap), 5 cp,Service,Soothing Suds Bathhouse,Bathhouse
"Deluxe Bath Package (Includes Bath Soak, Aromatherapy, and Massage)", 5 gp,Service,Soothing Suds Bathhouse,Bathhouse
Herbal Bath Soak, 1 gp,Service,Soothing Suds Bathhouse,Bathhouse
Massage (15 minutes), 5 sp,Service,Soothing Suds Bathhouse,Bathhouse
Private Bathing Chamber, 2 gp per hour,Service,Soothing Suds Bathhouse,Bathhouse
Steam Room Access, 1 sp,Service,Soothing Suds Bathhouse,Bathhouse
Belt Axe Loop, 8 sp,Item,Dragonhide Beltsmiths,Belt Maker
Belt Bag, 5 sp,Item,Dragonhide Beltsmiths,Belt Maker
Belt Buckle," 2 sp and up, depending on the material",Item,Dragonhide Beltsmiths,Belt Maker
Belt Dagger Sheath, 5 sp,Item,Dragonhide Beltsmiths,Belt Maker
Belt Flask Holder, 5 sp,Item,Dragonhide Beltsmiths,Belt Maker
Belt Holster, 7 sp,Item,Dragonhide Beltsmiths,Belt Maker
Belt Pouch, 5 sp,Item,Dragonhide Beltsmiths,Belt Maker
Belt Purse, 5 sp,Item,Dragonhide Beltsmiths,Belt Maker
Belt Quiver, 10 sp,Item,Dragonhide Beltsmiths,Belt Maker
Belt Scabbard, 10 sp,Item,Dragonhide Beltsmiths,Belt Maker
Belt Strap, 2 sp,Item,Dragonhide Beltsmiths,Belt Maker
Decorative Belt, 5 sp,Item,Dragonhide Beltsmiths,Belt Maker
Embossed Belt, 1 gp,Item,Dragonhide Beltsmiths,Belt Maker
Leather Belt, 1 sp,Item,Dragonhide Beltsmiths,Belt Maker
Studded Belt, 7 sp,Item,Dragonhide Beltsmiths,Belt Maker
Belt Dyeing, 2 sp - 1 gp ,Service,Dragonhide Beltsmiths,Belt Maker
Belt Repair, 5 sp - 2 gp ,Service,Dragonhide Beltsmiths,Belt Maker
Belt Tooling, 1 gp - 5 gp,Service,Dragonhide Beltsmiths,Belt Maker
Custom Belt Fitting, 1 gp,Service,Dragonhide Beltsmiths,Belt Maker
Belt Buckle Replacement, 2 - 5 sp ,Service,Dragonhide Beltsmiths,Belt Maker
Belt Cleaning and Conditioning, 2 - 5 sp ,Service,Dragonhide Beltsmiths,Belt Maker
Blank Parchment (per sheet), 1 sp,Item,Scroll & Seal Bindery,Bookbinder
Bone Folder, 5 sp,Item,Scroll & Seal Bindery,Bookbinder
Book Clasps (per pair), 5 sp,Item,Scroll & Seal Bindery,Bookbinder
Book Press, 50 gp,Item,Scroll & Seal Bindery,Bookbinder
Bookbinding Glue (per jar), 3 sp,Item,Scroll & Seal Bindery,Bookbinder
Bookbinding Needles (set of 5), 1 sp,Item,Scroll & Seal Bindery,Bookbinder
Brass Stamps (per set), 10 gp,Item,Scroll & Seal Bindery,Bookbinder
Calligraphy Ink (per vial), 2 sp,Item,Scroll & Seal Bindery,Bookbinder
Decorative Ribbon (per yard), 2 sp,Item,Scroll & Seal Bindery,Bookbinder
Gold Leaf (per sheet), 20 gp,Item,Scroll & Seal Bindery,Bookbinder
Ink (per vial), 1 sp,Item,Scroll & Seal Bindery,Bookbinder
Leather Cover (for a large book), 10 gp,Item,Scroll & Seal Bindery,Bookbinder
Leather Cover (for a small book), 5 gp,Item,Scroll & Seal Bindery,Bookbinder
Pigment Powder (per color), 1 sp,Item,Scroll & Seal Bindery,Bookbinder
Quill Knife (for sharpening quills), 2 sp,Item,Scroll & Seal Bindery,Bookbinder
Quill, 1 copper piece (cp,Item,Scroll & Seal Bindery,Bookbinder
"Scribe’s Desk (wooden, with drawers)", 25 gp,Item,Scroll & Seal Bindery,Bookbinder
Sewing Thread (per spool), 1 sp,Item,Scroll & Seal Bindery,Bookbinder
Vellum (per sheet), 5 sp,Item,Scroll & Seal Bindery,Bookbinder
Wax Seal (with personalized stamp, 5 gp,Item,Scroll & Seal Bindery,Bookbinder
Advanced Bookbinding (with decorative elements), 25 gp,Service,Scroll & Seal Bindery,Bookbinder
Basic Bookbinding (per book), 10 gp,Service,Scroll & Seal Bindery,Bookbinder
Custom Embossing (per cover), 10 gp,Service,Scroll & Seal Bindery,Bookbinder
Custom Gilding (per cover), 15 gp,Service,Scroll & Seal Bindery,Bookbinder
Manuscript Repair (per hour), 5 gp,Service,Scroll & Seal Bindery,Bookbinder
Beef (per pound), 2 sp ,Item,Blackwood's Bountiful Butchery,Butcher
Blood Pudding (per pound), 2 sp ,Item,Blackwood's Bountiful Butchery,Butcher
Bone Broth (per jug), 1 sp ,Item,Blackwood's Bountiful Butchery,Butcher
"Bones (variety of sizes, per pound)", 1 cp ,Item,Blackwood's Bountiful Butchery,Butcher
Chicken (per bird), 5 cp ,Item,Blackwood's Bountiful Butchery,Butcher
"Herbs and Spices (variety, per ounce)", 1 - 5 sp ,Item,Blackwood's Bountiful Butchery,Butcher
Jerky (per pound), 1 gp ,Item,Blackwood's Bountiful Butchery,Butcher
Lamb (per pound), 2 sp ,Item,Blackwood's Bountiful Butchery,Butcher
Meat Pies (each), 5 sp ,Item,Blackwood's Bountiful Butchery,Butcher
"Offal (variety of organ meats, per pound)", 5 cp ,Item,Blackwood's Bountiful Butchery,Butcher
Pepper (per pound), 1 sp or ,Item,Blackwood's Bountiful Butchery,Butcher
Pork (per pound), 1 sp ,Item,Blackwood's Bountiful Butchery,Butcher
Rabbit (per pound), 5 cp ,Item,Blackwood's Bountiful Butchery,Butcher
Salt (per pound), 1 sp ,Item,Blackwood's Bountiful Butchery,Butcher
Sausages (per pound), 3 sp ,Item,Blackwood's Bountiful Butchery,Butcher
"Tallow (rendered animal fat, per pound)", 2 cp ,Item,Blackwood's Bountiful Butchery,Butcher
Venison (per pound), 1 gp,Item,Blackwood's Bountiful Butchery,Butcher
Butchering Fee, 2 gp (for small animals) to 10 gp (for large animals),Service,Blackwood's Bountiful Butchery,Butcher
Custom Cuts (per request), 3 sp - 1 gp per pound,Service,Blackwood's Bountiful Butchery,Butcher
Basic Button Sewing Kit, 5 copper pieces (cp,Item,Loom & Latch Buttonry,Buttonmaker
"Bone, Wood, or Horn Buttons (Set of 10)", 5 cp,Item,Loom & Latch Buttonry,Buttonmaker
Brass or Pewter Buttons (Set of 10), 1 sp,Item,Loom & Latch Buttonry,Buttonmaker
Carved Stone Button Jar, 5 sp,Item,Loom & Latch Buttonry,Buttonmaker
Custom-Made Buttons (Per Button), 1 gp each,Item,Loom & Latch Buttonry,Buttonmaker
Decorative Button Hook with Intricate Designs, 5 sp,Item,Loom & Latch Buttonry,Buttonmaker
Deluxe Button Sewing Kit with Assorted Buttons, 2 sp,Item,Loom & Latch Buttonry,Buttonmaker
Fancy Buttons with Intricate Designs (Set of 10), 5 sp,Item,Loom & Latch Buttonry,Buttonmaker
Gold or Silver Buttons (Set of 10), 10 gp,Item,Loom & Latch Buttonry,Buttonmaker
Polishing Kit (Includes Polishing Stones and Cloth), 1 gp,Item,Loom & Latch Buttonry,Buttonmaker
Simple Button Hook, 2 copper pieces (cp,Item,Loom & Latch Buttonry,Buttonmaker
Standard Buttons (Set of 10), 1 sp,Item,Loom & Latch Buttonry,Buttonmaker
Wooden Button Box (Small), 2 sp,Item,Loom & Latch Buttonry,Buttonmaker
Custom-Made Buttons (Per Button), 1 gp each,Service,Loom & Latch Buttonry,Buttonmaker
Garment Mending and Alterations, 1+ sp,Service,Loom & Latch Buttonry,Buttonmaker
Aromatherapy Candle Set, 8 gp,Item,Luminara Creations,Candlemaker
Beeswax Candle (Quality), 5 sp,Item,Luminara Creations,Candlemaker
"Candle Lantern (Simple, with glass panels)", 5 gp,Item,Luminara Creations,Candlemaker
Candle Sconce (Wall-mounted), 3 gp,Item,Luminara Creations,Candlemaker
Candle Snuffer (Brass), 1 sp,Item,Luminara Creations,Candlemaker
"Candleholder (Ornate, for taper candles)", 2 gp,Item,Luminara Creations,Candlemaker
Candlemaking Kit (Basic), 5 gp,Item,Luminara Creations,Candlemaker
Candlemaking Recipe Book, 3 gp,Item,Luminara Creations,Candlemaker
Lantern Oil (Flask), 1 sp,Item,Luminara Creations,Candlemaker
Scented Candle (Assorted Scents), 5 sp,Item,Luminara Creations,Candlemaker
Tallow Candle (Common), 1 sp,Item,Luminara Creations,Candlemaker
Taper Candle (Decorative), 2 sp,Item,Luminara Creations,Candlemaker
Wax Seal Kit, 5 gp,Item,Luminara Creations,Candlemaker
Wick Cutter (Fine Steel), 5 sp,Item,Luminara Creations,Candlemaker
Candle Carving (Intricate Designs), 2 gp per candle,Service,Luminara Creations,Candlemaker
Candle Dyeing (Assorted Colors), 1 sp per candle,Service,Luminara Creations,Candlemaker
Candlelit Event Planning (Decorating with candles), 10+ gp,Service,Luminara Creations,Candlemaker
Candlemaking Workshop (Basic Instruction), 5 gp per person,Service,Luminara Creations,Candlemaker
Custom Candle Crafting (Basic), 2 gp per candle,Service,Luminara Creations,Candlemaker
Barrel, 2 gp,Item,Timbercraft Workshop,Carpenter
Bedframe, 10 gp,Item,Timbercraft Workshop,Carpenter
Bench, 3 gp,Item,Timbercraft Workshop,Carpenter
Birdhouse, 2 sp,Item,Timbercraft Workshop,Carpenter
Bookshelf, 7 gp,Item,Timbercraft Workshop,Carpenter
Cabinet or Cupboard, 5 gp,Item,Timbercraft Workshop,Carpenter
Chair, 2 gp,Item,Timbercraft Workshop,Carpenter
Chest of Drawers, 8 gp,Item,Timbercraft Workshop,Carpenter
Chest, 2 gp,Item,Timbercraft Workshop,Carpenter
Picture Frame, 1 gp,Item,Timbercraft Workshop,Carpenter
Plank (per foot), 1 sp,Item,Timbercraft Workshop,Carpenter
Shield, 10 gp,Item,Timbercraft Workshop,Carpenter
Signboard, 2 gp,Item,Timbercraft Workshop,Carpenter
Simple Wooden Door, 5 gp,Item,Timbercraft Workshop,Carpenter
Stool, 1 gp,Item,Timbercraft Workshop,Carpenter
Table, 5 gp,Item,Timbercraft Workshop,Carpenter
Tool Chest, 5 gp,Item,Timbercraft Workshop,Carpenter
Trough, 3 gp,Item,Timbercraft Workshop,Carpenter
Window Shutters (per pair), 2 gp,Item,Timbercraft Workshop,Carpenter
Braking System, 25 gp,Item,Dragonhaul Wagons,Cartwright
Built-in Toolbox, 10 gp,Item,Dragonhaul Wagons,Cartwright
Collapsible Cart Kit, 75 gp,Item,Dragonhaul Wagons,Cartwright
Covered Wagon, 45 gp,Item,Dragonhaul Wagons,Cartwright
Folding Table, 5 gp,Item,Dragonhaul Wagons,Cartwright
Horse Drawn Carriage, 250 gp,Item,Dragonhaul Wagons,Cartwright
Lantern Holder, 2 gp each,Item,Dragonhaul Wagons,Cartwright
Leather Padded Driver Seat, 20 gp,Item,Dragonhaul Wagons,Cartwright
Lockable Cargo Chest, 10 gp,Item,Dragonhaul Wagons,Cartwright
Reinforced Wagon, 75 gp,Item,Dragonhaul Wagons,Cartwright
Sturdy Wagon,  35 gp,Item,Dragonhaul Wagons,Cartwright
Upholstered Carriage, 500 gp,Item,Dragonhaul Wagons,Cartwright
Waterproof Wagon Cover, 5 gp,Item,Dragonhaul Wagons,Cartwright
Wheel Repair Kit, 10 gp,Item,Dragonhaul Wagons,Cartwright
Wooden cart, 15 gp,Item,Dragonhaul Wagons,Cartwright
Axle Reinforcement,  15 gp,Service,Dragonhaul Wagons,Cartwright
Basic Cart Maintenance, 5 gp,Service,Dragonhaul Wagons,Cartwright
Canvas Repair and Waterproofing, 15 gp,Service,Dragonhaul Wagons,Cartwright
Custom Cart Design," 50 gp and up, depending on complexity",Service,Dragonhaul Wagons,Cartwright
Magical Glyph of Stability, 100 gp,Service,Dragonhaul Wagons,Cartwright
Urgent Repairs, 20 gp,Service,Dragonhaul Wagons,Cartwright
Wheel Alignment, 10 gp,Service,Dragonhaul Wagons,Cartwright
Wheel Replacement, 5 gp per wheel,Service,Dragonhaul Wagons,Cartwright
Anchor Chain, 5 gp per foot,Item,Ironlink Forge,Chainmaker
Chain Links (for Repairs),  1 sp per bundle,Item,Ironlink Forge,Chainmaker
Chain Shirt, 50 gp,Item,Ironlink Forge,Chainmaker
Chainmail Armor, 75 gp,Item,Ironlink Forge,Chainmaker
Chainmail Gloves, 15 gp,Item,Ironlink Forge,Chainmaker
Chainmail Polish, 1 gp,Item,Ironlink Forge,Chainmaker
Chainmail Repair Kit, 5 gp,Item,Ironlink Forge,Chainmaker
Conveyor Chain ,2 sp per foot,Item,Ironlink Forge,Chainmaker
Decorative Chains,1-10 go,Item,Ironlink Forge,Chainmaker
Drainage Chain,1 sp per foot,Item,Ironlink Forge,Chainmaker
Drawbridge Chain, 10 gp per foot,Item,Ironlink Forge,Chainmaker
Fencing Chain,5 sp per foot,Item,Ironlink Forge,Chainmaker
Lifting Chain, 2 gp per foot,Item,Ironlink Forge,Chainmaker
Logging Chain, 3 gp per foot,Item,Ironlink Forge,Chainmaker
Mining Chain, 4 gp per foot,Item,Ironlink Forge,Chainmaker
Saw Chain, 10 gp per foot,Item,Ironlink Forge,Chainmaker
Tethering Chain, 1 gp per foot,Item,Ironlink Forge,Chainmaker
Traction Chain, 2 gp per foot,Item,Ironlink Forge,Chainmaker
Winch Chain ,3 gp per foot,Item,Ironlink Forge,Chainmaker
Chainmail Repair Service,2+ go,Service,Ironlink Forge,Chainmaker
Custom Chainmail Design Services,25+ gp,Service,Ironlink Forge,Chainmaker
Bag of High-Quality Charcoal (10 lbs), 1 sp,Item,Draconis Charcoal Works,Charcoal Maker
Charcoal Burner’s Apron, 5 sp,Item,Draconis Charcoal Works,Charcoal Maker
